Range,Range1,Range2,Class Name,Field Name
97001–97799,97001,97799, physical medicine and rehabilitation,Medicine
97802–97804,97802,97804, medical nutrition therapy,Medicine
97810–97814,97810,97814, acupuncture,Medicine
98925–98929,98925,98929, osteopathic manipulative treatment,Medicine
98940–98943,98940,98943, chiropractic manipulative treatment,Medicine
98960–98962,98960,98962, education and training for patient self-management,Medicine
98966–98969,98966,98969, non-face-to-face nonphysician services,Medicine
99000–99091,99000,99091," special services, procedures and reports",Medicine
99100–99140,99100,99140, qualifying circumstances for anesthesia,Anesthesia
99143–99150,99143,99150, moderate (conscious) sedation,Anesthesia
99170–99199,99170,99199, other services and procedures,Medicine
99201–99215,99201,99215, Office/other outpatient services,Evaluation and Management
99217–99220,99217,99220, Hospital observation services,Evaluation and Management
99221–99239,99221,99239, Hospital inpatient services,Evaluation and Management
99241–99255,99241,99255, Consultations,Evaluation and Management
99281–99288,99281,99288, Emergency department services,Evaluation and Management
99291–99292,99291,99292, Critical care services,Evaluation and Management
99304–99318,99304,99318, Nursing facility services,Evaluation and Management
99324–99337,99324,99337," Domiciliary, rest home (boarding home)  or custodial care services",Evaluation and Management
99339–99340,99339,99340," Domiciliary, rest home (assisted living facility) , or home care plan oversight services ",Evaluation and Management
99341–99350,99341,99350, Home health services,Evaluation and Management
99354–99360,99354,99360, Prolonged services,Evaluation and Management
99363–99368,99363,99368, Case management services,Evaluation and Management
99374–99380,99374,99380, Care plan oversight services,Evaluation and Management
99381–99429,99381,99429, Preventive medicine services,Evaluation and Management
99441–99444,99441,99444, Non-face-to-face physician services,Evaluation and Management
99450–99456,99450,99456, Special evaluation and management services,Evaluation and Management
99460–99465,99460,99465, Newborn care services,Evaluation and Management
99466–99480,99466,99480," Inpatient neonatal intensive, and pediatric/neonatal critical, care services",Evaluation and Management
99487–99489,99487,99489, Complex chronic care coordination services,Evaluation and Management
99495–99496,99495,99496, Transitional care management services,Evaluation and Management
99499,99499,99499, Other evaluation and management services,Evaluation and Management
99500–99602,99500,99602, home health procedures/services,Medicine
99605–99607,99605,99607, medication therapy management services,Medicine
